Manufacturer,Model,Model Year,Battery Capacity kWh,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Plug Type,Autocharge Support,Emergency Release Location,Plug Type Source,Autocharge Support Source,Emergency Release Location Source,Region,Vehicle Type
Lucid,Air Sapphire AWD,2025,116.8,22.0,300,CCS1 + J1772,Ja - Plug & Charge | Netzwerke: Electrify America,"Primär: Touchscreen > Service-Menü > Ladeport entriegeln. Notfall (kein Strom): Mechanische Notentriegelung nahe Ladeport – genaue Position im Owner's Manual (Lucid Air, Abschnitt Charging Emergency). Hochvoltleitungen NICHT berühren.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Lucid Air Owner's Manual | Lucid Charging documentation | Electrify America Plug & Charge,Lucid Air Owner's Manual | Lucid Support documentation,US,BEV
Lucid,Air Touring AWD,2025,116.8,22.0,300,CCS1 + J1772,Ja - Plug & Charge | Netzwerke: Electrify America,"Primär: Touchscreen > Service-Menü > Ladeport entriegeln. Notfall (kein Strom): Mechanische Notentriegelung nahe Ladeport – genaue Position im Owner's Manual (Lucid Air, Abschnitt Charging Emergency). Hochvoltleitungen NICHT berühren.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Lucid Air Owner's Manual | Lucid Charging documentation | Electrify America Plug & Charge,Lucid Air Owner's Manual | Lucid Support documentation,US,BEV
Maserati,Grancabrio/Granturismo Folgore,2025,90.4,22.0,270.0,CCS1 + J1772,Unbekannt | Netzwerke: Zu prüfen,GranTurismo/GranCabrio Folgore (CCS): Fahrzeug entriegeln. Notmechanismus nicht öffentlich dokumentiert – Owner's Manual oder Maserati Kundendienst kontaktieren.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Maserati Grecale Folgore / GranTurismo Folgore documentation,Maserati Owner's Manual,EU + US,BEV
Nissan,ARIYA ENGAGE+/EVOLVE+/PLATINUM+ e-4ORCE 87kWh,2025,90.8,10.2,130,CCS1 + J1772,Nein | Netzwerke: N/A (verwendet CHAdeMO),"⚠️ EINMALIGER MECHANISMUS: Motorhaube öffnen, ganz links hinten im Motorraum (ca. 20 cm tief), weißen Plastikknopf/-clip drehen und ziehen. Laut Nissan-Technikern ist dies ein Einwegmechanismus – danach muss die Ladeeinheit in der Werkstatt ersetzt werden.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Nissan LEAF/ARIYA Owner's Manuals | CHAdeMO standard documentation | No CCS Plug & Charge,Nissan LEAF Owner's Manual | ARIYA documentation | LEAF Forum discussions,US,BEV
Nissan,ARIYA EVOLVE+ FWD 87kWh,2025,90.8,10.2,130,CCS1 + J1772,Nein | Netzwerke: N/A (verwendet CHAdeMO),"⚠️ EINMALIGER MECHANISMUS: Motorhaube öffnen, ganz links hinten im Motorraum (ca. 20 cm tief), weißen Plastikknopf/-clip drehen und ziehen. Laut Nissan-Technikern ist dies ein Einwegmechanismus – danach muss die Ladeeinheit in der Werkstatt ersetzt werden.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Nissan LEAF/ARIYA Owner's Manuals | CHAdeMO standard documentation | No CCS Plug & Charge,Nissan LEAF Owner's Manual | ARIYA documentation | LEAF Forum discussions,US,BEV
Nissan,ARIYA FWD 63kWh,2025,65.8,10.2,130,CCS1 + J1772,Nein | Netzwerke: N/A (verwendet CHAdeMO),"⚠️ EINMALIGER MECHANISMUS: Motorhaube öffnen, ganz links hinten im Motorraum (ca. 20 cm tief), weißen Plastikknopf/-clip drehen und ziehen. Laut Nissan-Technikern ist dies ein Einwegmechanismus – danach muss die Ladeeinheit in der Werkstatt ersetzt werden.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Nissan LEAF/ARIYA Owner's Manuals | CHAdeMO standard documentation | No CCS Plug & Charge,Nissan LEAF Owner's Manual | ARIYA documentation | LEAF Forum discussions,US,BEV
Nissan,ARIYA e-4ORCE 63kWh,2025,65.8,10.2,130,CCS1 + J1772,Nein | Netzwerke: N/A (verwendet CHAdeMO),"⚠️ EINMALIGER MECHANISMUS: Motorhaube öffnen, ganz links hinten im Motorraum (ca. 20 cm tief), weißen Plastikknopf/-clip drehen und ziehen. Laut Nissan-Technikern ist dies ein Einwegmechanismus – danach muss die Ladeeinheit in der Werkstatt ersetzt werden.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Nissan LEAF/ARIYA Owner's Manuals | CHAdeMO standard documentation | No CCS Plug & Charge,Nissan LEAF Owner's Manual | ARIYA documentation | LEAF Forum discussions,US,BEV
Porsche,Taycan 4/4S,2025,109.7,11.0,270,CCS1 + J1772,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Porsche Charging Service, Electrify America","Außen am Fahrzeug zugänglich (kein Kofferraum nötig): Zwischen Fahrertür und Kotflügel, schwarzen runden Knopf/Objekt über dem Türscharnier suchen. Knopf bis zum Widerstand ca. 2–3 cm herausziehen – Verriegelungspin löst sich. Kabel innerhalb 20 Sek. entfernen. Anschließend Werkstattbesuch empfohlen. (Quelle: NHTSA TSB MC-10170995)",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Porsche Charging Service | Taycan Forum | Electrify America Plug & Charge support,Porsche Taycan Owner's Manual | Porsche Forum emergency procedures,EU + US,BEV
Porsche,Taycan Perf Battery/Battery Plus,2025,122.4,11.0,270,CCS1 + J1772,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Porsche Charging Service, Electrify America","Außen am Fahrzeug zugänglich (kein Kofferraum nötig): Zwischen Fahrertür und Kotflügel, schwarzen runden Knopf/Objekt über dem Türscharnier suchen. Knopf bis zum Widerstand ca. 2–3 cm herausziehen – Verriegelungspin löst sich. Kabel innerhalb 20 Sek. entfernen. Anschließend Werkstattbesuch empfohlen. (Quelle: NHTSA TSB MC-10170995)",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Porsche Charging Service | Taycan Forum | Electrify America Plug & Charge support,Porsche Taycan Owner's Manual | Porsche Forum emergency procedures,EU + US,BEV
Porsche,Taycan Turbo/Turbo S,2025,109.7,11.0,270,CCS1 + J1772,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Porsche Charging Service, Electrify America","Außen am Fahrzeug zugänglich (kein Kofferraum nötig): Zwischen Fahrertür und Kotflügel, schwarzen runden Knopf/Objekt über dem Türscharnier suchen. Knopf bis zum Widerstand ca. 2–3 cm herausziehen – Verriegelungspin löst sich. Kabel innerhalb 20 Sek. entfernen. Anschließend Werkstattbesuch empfohlen. (Quelle: NHTSA TSB MC-10170995)",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Porsche Charging Service | Taycan Forum | Electrify America Plug & Charge support,Porsche Taycan Owner's Manual | Porsche Forum emergency procedures,EU + US,BEV
Rivian ,R1S Dual,2025,149.7,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rivian ,R1S Dual Large,2025,116.1,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rivian ,R1S Dual Standard,2025,94.7,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rivian ,R1S Tri Max,2025,149.7,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rivian ,R1T Dual,2025,149.7,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rivian ,R1T Dual Large,2025,116.1,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rivian ,R1T Dual Standard,2025,94.7,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rivian ,R1T Tri Max,2025,149.7,11.4,210,CCS1 + J1772,"Ja - Plug & Charge | Netzwerke: Rivian Adventure Network (nativ), Electrify America, Tesla SC (mit Adapter)",Primär: Zentraldisplay > Ladeport entriegeln. Notfall: Ladeport-Bereich mechanisch zugänglich; benötigt T25- und T20-Schlüssel. Entriegelungskabel vorsichtig ziehen – Hochvoltleitungen NICHT durchtrennen. Frunk: Bei Stromausfall Haube über Not-Zugang (12V) öffnen.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rivian R1T/R1S Owner's Manual | Rivian Adventure Network documentation,Rivian R1T/R1S Owner's Guide | Rivian Support documentation,US,BEV
Rolls-Royce,Black Badge Spectre,2025,105.6,,,CCS1 + J1772,Unbekannt | Netzwerke: Zu prüfen,Spectre (CCS): Fahrzeug entriegeln. Notmechanismus nicht öffentlich dokumentiert – Rolls-Royce Pannenservice.,SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Rolls-Royce Spectre documentation,Rolls-Royce Spectre Owner's Manual,EU + US,BEV
Volkswagen,ID. Buzz 4Motion,2025,91.7,11.0,170.0,CCS1 + J1772,Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify America,"Kofferraum (MEB-Plattform): Beifahrerseite (rechts), Verkleidungsabdeckung abnehmen, gelbe Notentriegelungsschlaufe einmal kräftig ziehen. Ca. 10–20 Sek. Zeitfenster zum Entfernen des Kabels. Nicht mehrfach ziehen – schadet dem Mechanismus.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,VW ID. Series Documentation | Electrify America Plug & Charge compatibility,VW ID.4 Owner's Manual | VW ID. Buzz Owner's Manual | VW Forum,EU + US,BEV
Volvo,EC40/EX40,2025,81.6,11.0,149,CCS1 + J1772,Nein | Netzwerke: N/A,"Kofferraum: Linke Seite, versenkten Bodenpanel/Verkleidung anheben, Hebel oder Schlaufe darunter ziehen. Mechanismus zieht sich beim nächsten Ladevorgang automatisch zurück. Fahrzeug muss entsperrt sein.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Volvo EX40/EX30/XC40 Recharge documentation,Volvo EX40 Owner's Manual | EX30 documentation | Volvo EV Forum,EU + US,BEV
Volvo,EC40/EX40 Twin,2025,81.6,11.0,149,CCS1 + J1772,Nein | Netzwerke: N/A,"Kofferraum: Linke Seite, versenkten Bodenpanel/Verkleidung anheben, Hebel oder Schlaufe darunter ziehen. Mechanismus zieht sich beim nächsten Ladevorgang automatisch zurück. Fahrzeug muss entsperrt sein.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Volvo EX40/EX30/XC40 Recharge documentation,Volvo EX40 Owner's Manual | EX30 documentation | Volvo EV Forum,EU + US,BEV
Volvo,EX30 Single Motor extended range,2025,66.2,11.0,153.0,CCS1 + J1772,Nein | Netzwerke: N/A,"Kofferraum: Linke Seite, Kunststoffkappe mit Schraubenzieher abhebeln, darunter liegenden Hebel/Schlaufe ziehen. Lädt nach dem nächsten Ladevorgang automatisch zurück.",SAE J1772 & CCS1 Standards | AFDC Vehicle Search Database | EPA Fuel Economy Guide,Volvo EX40/EX30/XC40 Recharge documentation,Volvo EX40 Owner's Manual | EX30 documentation | Volvo EV Forum,EU + US,BEV
Alfa Romeo,Tonale eAWD,2025,15.5,6.6,,Type 2 (AC only),Nein,Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,A4 quattro/S-Line/Allroad,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,A5 Sportback quattro,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,A6 quattro,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,A6 quattro/Allroad,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,A7 quattro,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,A8 quattro,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,Q4 55 e-tron quattro,2025,81.6,11.0,150.0,Type 2 + CCS2,Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,Q5 Plug-In Hybrid quattro,2025,18.0,7.4,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU + US,PHEV
Audi,Q5 quattro/Sportback/S-Line,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,Q7,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,Q8 e-tron quattro,2025,114.3,11.0,170.0,Type 2 + CCS2,Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,Q8 quattro,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,RS 6 Avant,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,RS7,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,RS Q8 Performance,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,S6,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,S7,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Audi,S8,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform),IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
Bentley Motors,Bentayga Hybrid,2025,18.0,,,Type 2 (AC only),Nein,Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,330i Sedan,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,330i xDrive Sedan,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,430i Coupe/Convertible,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,430i xDrive Coupe/Convertible,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,530i Sedan,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,530i xDrive Sedan,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,540i xDrive Sedan,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
BMW,740i  Sedan,2025,,,,Type 2 (AC only),Partiell – einige MY2024+ Modelle via OEM-Netzwerk,Kofferraum: ähnlich BEV-Modellen – Hebel hinter Verkleidung; Betriebsanleitung konsultieren,IEC 62196-2 Type 2 EU Standard | AFDC PHEV Specification | EU Charging Directive 2014/94/EU,Manufacturer PHEV Technical Documentation | EU Charging Network Partnerships,Vehicle Owner Manual | Manufacturer Service Documentation | AFDC PHEV Database,EU,PHEV
