# EV CHARGING DATABASE — EU+US 2024/2025
# Format: Region|Type|Model|Year|Battery(kWh)|AC_kW|DC_kW|Plug|Autocharge:Y/N/P/?|Emergency:…
# Autocharge: Y=yes N=no P=partial ?=unknown | Type: BEV=Battery Electric PHEV=Plug-in Hybrid | '-'=data unavailable

## ABARTH
US|BEV|Niro Electric|2020|64.8kWh|AC:7.2kW|DC:77kW|CCS1 + J1772|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
US|BEV|Niro Plug-in Hybrid|2020|64.8kWh|AC:7.2kW|DC:77kW|J1772 (AC only)|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
US|BEV|Optima Plug-In Hybrid|2020|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
US|BEV|Niro Electric|2019|64.8kWh|AC:7.2kW|DC:77kW|CCS1 + J1772 (oder CHAdeMO bei älteren Modellen)|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
US|BEV|Niro Plug-in Hybrid|2019|64.8kWh|AC:7.2kW|DC:77kW|J1772 (AC only)|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
US|BEV|Optima Plug-In Hybrid|2019|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
US|BEV|Niro Plug-in Hybrid|2018|64.8kWh|AC:7.2kW|DC:77kW|J1772 (AC only)|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
US|BEV|Optima Plug-In Hybrid|2018|-|AC:-|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Kofferraum (E-GMP-Plattform): Rechte Seitenwand, runde Kunststoffkappe abziehen oder Dreh-Zug-Mechanismus betätigen. Fahrzeug muss entsperrt sein. Kabel innerhalb ca. 20 Sek. entfernen.
## LAMBORGHINI
EU|PHEV|Revuelto|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|PHEV|Revuelto|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
## LANCIA
EU|BEV|Ypsilon|2024|-|AC:-|DC:-|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|YpsilonHF|2024|54kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
## LAND ROVER
EU|PHEV|Defender 110 MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 130 MHEV/Outbound|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 90 MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Discovery MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover P400 LWB MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover P400 MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover P550 PHEV|2025|38.2kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport P360/P400 MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport P460 PHEV|2025|38.2kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport/SVR MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover/SV LWB MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover/SV MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Velar P340/P400 MHEV|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 110 MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 130 MHEV/Outbound|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 90 MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Discovery MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover P360/P400 LWB MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover P360/P400 MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport P360/P400 MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport/SVR MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover/SV LWB MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover/SV MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Velar P340/P400 MHEV|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 90/110/130 MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Discovery MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover LWB MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover Sport MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover/Sport P440 PHEV|2023|38kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Evoque MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Velar MHEV|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 110 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 90 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Discovery MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover P360 LWB MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover P360 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover P400 LWB MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|New Range Rover P400 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Evoque MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover P360 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover P400 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport P360 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport P400 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport PHEV|2022|31.8kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Velar P340 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Velar P400 MHEV|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 110 MHEV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 90 MHEV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Discovery MHEV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover MHEV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover PHEV|2021|31.8kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport MHEV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport PHEV|2021|31.8kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Velar P340 MHEV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Velar P400 MHEV|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 110 MHEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Defender 90 MHEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Discovery|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover MHEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover PHEV|2020|31.8kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport MHEV|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
EU|PHEV|Range Rover Sport PHEV|2020|31.8kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum oder Motorraum: Betriebsanleitung konsultieren
US|BEV|Range Rover P550 PHEV|2025|38.2kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
US|BEV|Range Rover Sport P460 PHEV|2025|38.2kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
US|BEV|New Range Rover/Sport P440 PHEV|2023|38kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
US|BEV|Range Rover Sport PHEV|2022|31.8kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
US|BEV|Range Rover PHEV|2021|31.8kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
US|BEV|Range Rover Sport PHEV|2021|31.8kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
US|BEV|Range Rover PHEV|2020|31.8kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
US|BEV|Range Rover Sport PHEV|2020|31.8kWh|AC:7.4kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:Range Rover PHEV (J1772): Fahrzeug entriegeln. Kein Verriegelungsmechanismus bei PHEV.
## LEAPMOTOR
EU|BEV|B10|2024|67.1kWh|AC:11kW|DC:168kW|Type 2 + CCS2|Autocharge:?|Emergency:Chinesischer Hersteller - Owner's Manual konsultieren
EU|BEV|T03|2024|36kWh|AC:6.6kW|DC:-|Type 2 + CCS2|Autocharge:?|Emergency:Chinesischer Hersteller - Owner's Manual konsultieren
EU|BEV|AWD|2024|81.9kWh|AC:11kW|DC:180kW|Type 2 + CCS2|Autocharge:?|Emergency:Chinesischer Hersteller - Owner's Manual konsultieren
EU|BEV|RWD|2024|81.9kWh|AC:11kW|DC:180kW|Type 2 + CCS2|Autocharge:?|Emergency:Chinesischer Hersteller - Owner's Manual konsultieren
## LEXUS
EU|PHEV|ES 300h|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 350h AWD|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 450h+ AWD|2025|18.1kWh|AC:6.6kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 300h|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 300h AWD|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|BEV|RZ 500e|2024|71.4kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|RZ 350e|2024|71.4kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|UX 300e|2024|54.3kWh|AC:11kW|DC:50kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|RZ 550e F|2024|71.4kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|PHEV|ES 300h|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LC 500h|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LS 500h AWD|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 350h AWD|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 450h+ AWD|2024|18kWh|AC:6.6kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 350h AWD|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 500h AWD|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RZ 300e|2024|72.8kWh|AC:11kW|DC:150kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RZ 450e|2024|71.4kWh|AC:6.6kW|DC:150kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|TX 500h AWD|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h AWD|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|ES 300h|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LC 500h|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LS 500h|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LS 500h AWD|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 350h AWD|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 450h+ AWD|2023|18kWh|AC:6.6kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 350h AWD|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 500h AWD|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RZ 450e AWD (18"/20" Wheels)|2023|71kWh|AC:6.6kW|DC:150kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h AWD|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|ES 300h|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LC 500h|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LS 500h AWD|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 350h AWD|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 450+ AWD|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 450h AWD|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 450h L AWD|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h AWD|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|ES 300h|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LC 500h|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LS 500h|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LS 500h AWD|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|NX 300h AWD|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 450h AWD|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|RX 450h L AWD|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|UX 250h AWD|2021|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|ES 300h|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LC 500h|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
EU|PHEV|LS 500h|2020|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Notentriegelungskabel – Betriebsanleitung konsultieren
